,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
17,5.172512865066528,0.32387397445223104,0.007080745697021484,0.00029997193850254337,0.01,4,10,300,"{'learning_rate': 0.01, 'max_depth': 4, 'min_samples_split': 10, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
18,1.8891360759735107,0.08914672590031396,0.006737279891967774,0.0010347764429441731,0.01,5,2,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
19,3.654245901107788,0.19942642221946688,0.007445716857910156,0.000626198391215959,0.01,5,2,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
20,5.253058958053589,0.31836186583002973,0.008296680450439454,0.0007947859244333107,0.01,5,2,300,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 2, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
21,1.8331060409545898,0.08420318621764994,0.006309700012207031,0.000839488567769133,0.01,5,5,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
22,3.6603238582611084,0.21947400752435967,0.0073830604553222655,0.0006871719031427146,0.01,5,5,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
23,5.151494359970092,0.337642019809999,0.008230352401733398,0.0011079688883589226,0.01,5,5,300,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 5, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
24,1.867368507385254,0.12422139068225242,0.006206417083740234,0.0008436661742733278,0.01,5,10,100,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
25,3.7799223899841308,0.36535705140856384,0.007333183288574218,0.00040265448203965235,0.01,5,10,200,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
26,5.260884094238281,0.2647794933868299,0.008370256423950196,0.0010424102052259956,0.01,5,10,300,"{'learning_rate': 0.01, 'max_depth': 5, 'min_samples_split': 10, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
27,1.5880123138427735,0.11120284297007056,0.006502342224121094,0.0008501210793244924,0.1,3,2,100,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
28,3.0535398960113525,0.2632300010624248,0.006708526611328125,0.0007383528864587368,0.1,3,2,200,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
29,4.355248260498047,0.848177732195028,0.008202695846557617,0.0022317125146320434,0.1,3,2,300,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
30,1.5564159870147705,0.11572822222655907,0.008101367950439453,0.00262027909019144,0.1,3,5,100,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 100}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
31,3.0201063632965086,0.21658024265979633,0.007772588729858398,0.0007190466334251464,0.1,3,5,200,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 200}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
32,4.28363070487976,0.7285802336028013,0.0069525718688964845,0.0009735495568365798,0.1,3,5,300,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 300}",0.990228013029316,0.9967213114754099,0.9901639344262295,1.0,0.993421052631579,0.9941068623125069,0.0038112177378288098,1
